3849,36805,43627,45657,64416,58272,40900,69444,3778,37805,40084,46580,58421,58876,44520,72906,6240,39789,44095,46466,60762,53959,40177,71482,atrium_public
1356,6469,10117,11053,8480,4796,6170,2184,3427,10094,13082,9633,4031,3643,5024,1691,11831,15152,9059,3463,2425,3412,3166,2117,atrium_public
707905,1826198,1317400,1376132,1607747,1629542,1727300,1807776,501257,1536896,1754495,1609813,1587418,1395242,1473825,2141054,960276,1802718,1464762,1753091,1303042,1168807,1179247,2368057,atrium_public
43428,175496,655530,2032826,2008359,823621,406759,580645,50206,149780,818842,2086659,1625242,955086,384888,655961,70792,185744,1104041,2223449,1371353,708970,223320,838995,atrium_public
11820,9704,11044,13137,13114,13826,8899,8139,10835,9433,11182,14708,14853,13947,8880,5845,16634,11889,14363,15011,12088,9798,6272,3628,atrium_public
3125838,1231915,500489,558719,173466,108007,124904,305302,2851644,1066453,664958,387788,545767,175532,102047,334451,3390772,815354,572046,409798,488090,165605,110086,176889,atrium_public
204457,486710,752680,471437,141267,113133,73632,98700,264635,816111,698849,185969,120566,87962,65147,102777,1057555,744506,175619,92985,75587,55425,38224,102115,atrium_public
131790,450094,1413868,1194038,795171,524424,541189,845106,170626,837737,1500340,948553,510348,464740,555256,908080,909313,1016550,1089758,607263,496757,529057,474057,772925,atrium_public
250611,216537,195326,227267,275043,285172,218430,131614,274955,271412,227381,209321,230783,262504,193766,129878,245426,598101,187509,149481,174288,221716,106320,117159,atrium_public
1003334,1322177,1269902,2522882,2274790,1675493,1222515,708907,1201265,1518212,1742421,2285270,1846990,1547570,663615,1194657,1950796,1956933,2330492,1487739,1213903,1254107,550400,1255630,atrium_public
14454,14132,11341,9527,10482,6014,2595,3755,15328,14438,11208,10108,9010,5690,2454,4064,15378,14764,11728,9099,8758,5882,2562,4129,atrium_public
49821,175241,153404,186422,191330,132752,70700,51330,35752,154248,170144,203948,205546,114877,72385,54100,9866,109057,199423,201274,114072,97633,108123,171552,atrium_public
194666,184456,159984,155704,131355,74058,39032,20145,95704,125371,134786,202166,161167,114193,89844,36169,100209,135290,120013,161020,108332,115171,149211,70154,atrium_public
2152,1127,1115,3528,14334,24958,25953,11083,2083,1076,833,3435,19712,29796,18886,8429,2016,892,1014,3417,21896,30442,16452,8121,atrium_public
556,2277,8193,13725,6237,5581,13750,12181,886,3110,12174,12495,5299,6806,14534,7196,8826,13446,7278,4934,4933,6147,11894,5042,atrium_public
748000,496444,1336458,721904,200336,176952,361248,616206,636247,595913,1002413,1074178,282337,130371,234963,701126,540820,468382,1010037,1214108,302617,106551,251523,763510,atrium_public
1270,293060,114744,76226,74118,90298,167619,241965,19085,267869,98758,77177,78628,104662,187648,225473,73324,306381,98553,69367,60753,111421,219595,119906,atrium_public
225423,436667,365409,490572,445173,492137,667264,189055,282221,558600,561280,496598,387644,485374,471569,68414,741454,675044,581964,358399,354764,381256,131855,86964,atrium_public
28022,212663,187436,160346,173423,90490,59819,83129,14487,191088,211511,150970,164879,98009,71230,93154,22511,212897,208806,150421,166976,78316,64804,90597,atrium_public
600,1172,3971,16091,27838,17292,10837,12034,975,1268,4806,19980,23427,16961,10457,11961,1326,3553,11330,18361,20987,14939,7447,11892,atrium_public
30232,18960,13651,13381,7245,6396,10697,24286,21445,25104,16272,11034,7067,6768,11390,25768,27376,18957,15029,9420,7595,6889,11164,28418,atrium_public
1432950,1793198,1318868,674267,558559,493836,321580,1073878,1404062,1337099,1514116,1008260,526014,475524,390494,1011567,1476150,1332930,888811,1271241,1044320,333397,404931,915356,atrium_public
365571,898025,1482228,1163801,644324,374555,311697,331479,438198,1013424,1554176,1063949,504231,321573,302936,373193,689693,1419567,1541732,671468,390296,241586,256880,360458,atrium_public
174990,137163,125133,156427,227571,126495,62085,218936,130412,160386,140850,132397,184939,172127,55593,252096,241535,138454,123353,114627,154021,155206,47651,253953,atrium_public
215255,296510,429178,656471,915434,1245840,1387609,1145159,264060,391056,494996,599340,854422,1115123,1566606,1005853,295753,452114,488318,547801,822471,1133073,1426698,1125228,atrium_public
51273,71316,121262,243474,318963,178485,44767,67420,46920,85169,162700,294976,258259,139881,40360,68695,40121,105655,177194,274611,239709,144840,39031,75799,atrium_public
110827,84385,76812,101810,122002,141806,158690,63828,119916,95371,85554,94091,104121,132143,175511,53453,182100,104340,87883,82019,79796,73104,209181,41737,atrium_public
192675,350445,248717,150211,69995,39097,21489,24331,177262,360760,289605,106845,71063,46041,17798,27586,264515,406702,198286,84446,53801,43861,20525,24824,atrium_public
6993,6004,7298,11035,14089,11449,5312,1945,5270,9074,10776,12384,10095,7686,6343,2497,7059,11703,11266,9299,7420,6789,5982,4607,atrium_public
180994,351617,337912,377304,266898,176392,57738,171145,174040,413342,425395,361779,221056,88523,66583,169282,166607,489454,494817,276986,144147,96239,46835,204915,atrium_public
223370,331132,156098,117217,45112,33377,59654,114040,94754,253029,216195,139454,118035,55677,58163,144693,109913,263714,220829,134261,103700,73619,41499,132465,atrium_public
183121,210821,227567,257322,306536,301182,228229,344422,218667,233941,293399,337471,307403,244907,190382,233030,311556,294036,272177,300981,266118,246391,180312,187629,atrium_public
135445,300573,278285,303831,274166,161590,124394,101716,205854,281143,268201,268425,282785,179526,116199,77867,170263,305435,333250,223714,173384,186614,201003,86337,atrium_public
2682,7624,14192,17288,12322,11476,11302,10693,7059,13632,16911,14273,9373,9555,9693,7083,14543,19493,17264,10454,8287,7050,6259,4229,atrium_public
101716,189549,304016,427798,398095,494572,889998,885756,119100,237108,295575,407164,393989,491481,886119,860964,185927,300162,290034,392301,355821,488971,671882,1006402,atrium_public
1041493,1073478,757588,329754,228821,145718,94899,199737,846963,1077562,854188,374376,229504,171084,104822,212989,1474889,1302877,412832,229313,149249,106107,79875,116346,atrium_public
68197,88650,117561,180246,457212,211136,84452,144226,136713,120552,111326,202674,323725,225177,78367,153146,156617,159875,147960,256797,204564,209715,75481,140671,atrium_public
265109,593433,899189,1111946,1131955,601420,221375,214421,266334,638603,946734,1322532,1030145,425093,254362,155045,291486,780605,1115276,1388236,841373,334964,177527,109381,atrium_public
6265,9980,11883,13137,11717,11199,5849,17902,12773,10922,9100,12681,15216,7847,4080,15313,20898,9746,9761,11563,7930,5248,7695,15091,atrium_public
372444,410822,157468,115927,91862,109265,119916,119792,533281,344151,163401,108763,106930,99969,86866,54135,688465,277217,158500,104416,101313,94372,45910,27303,atrium_public
419095,321289,245294,207586,150244,109712,74149,87156,374751,318941,255362,219660,153852,114957,76930,100072,491230,336024,274291,184425,124004,81761,57108,65682,atrium_public
164512,1346259,1770485,1391154,1270047,1956800,1198357,392508,175164,1738968,1584665,1290042,1451367,1956804,1034668,258444,1715072,1756678,975676,1009870,1550715,1339561,902379,240171,atrium_public
2368625,737445,827580,922913,859888,560222,388382,402339,1816808,888058,610384,992897,859496,740716,559338,599697,1599166,990504,664316,702385,856400,682926,663801,907896,atrium_public
16281,44472,30193,12739,15185,19169,25509,17952,15389,41401,32628,12849,14540,18466,25876,20351,14165,40988,35399,12818,14267,17391,25410,21062,atrium_public
492,3581,12373,18446,17157,14018,4443,8380,634,3955,13028,21683,18489,9481,4490,7130,548,3424,11533,20494,19126,10286,5140,8339,atrium_public
